claim_id,engagement_ref,adviser_ref,claim_date,claim_category,amount_gbp,row_type,submitted_by
CLM-001,ENG-001,A-00001,2025-01-10,HOSPITALITY,250.0,LINE_ITEM,Sarah Johnson
CLM-002,ENG-001,A-00001,2025-01-12,TRAVEL,350.0,LINE_ITEM,Sarah Johnson
CLM-003,ENG-002,A-00004,2025-01-14,HOSPITALITY,300.0,LINE_ITEM,Mark Davies
CLM-004,ENG-002,A-00004,2025-01-16,TRAVEL,350.0,LINE_ITEM,Mark Davies
CLM-005,ENG-002,A-00004,2025-01-16,ACCOMMODATION,150.0,LINE_ITEM,Mark Davies
CLM-006,ENG-003,A-00003,2025-01-17,HOSPITALITY,250.0,LINE_ITEM,Emma Wilson
CLM-007,ENG-003,A-00003,2025-01-19,TRAVEL,350.0,LINE_ITEM,Emma Wilson
CLM-008,ENG-004,A-00005,2025-01-22,HOSPITALITY,200.0,LINE_ITEM,Liam Thompson
CLM-009,ENG-004,A-00005,2025-01-24,TRAVEL,350.0,LINE_ITEM,Liam Thompson
CLM-010,ENG-005,A-00002,2025-01-28,HOSPITALITY,350.0,LINE_ITEM,Sarah Johnson
CLM-011,ENG-005,A-00002,2025-01-30,TRAVEL,350.0,LINE_ITEM,Sarah Johnson
CLM-012,ENG-006,A-00006,2025-02-04,HOSPITALITY,200.0,LINE_ITEM,Olivia Martin
CLM-013,ENG-006,A-00006,2025-02-06,TRAVEL,350.0,LINE_ITEM,Olivia Martin
CLM-014,ENG-007,A-00007,2025-02-07,HOSPITALITY,350.0,LINE_ITEM,Noah Anderson
CLM-015,ENG-007,A-00007,2025-02-09,TRAVEL,350.0,LINE_ITEM,Noah Anderson
CLM-016,ENG-007,A-00007,2025-02-09,ACCOMMODATION,200.0,LINE_ITEM,Noah Anderson
CLM-017,ENG-008,A-00008,2025-02-11,HOSPITALITY,300.0,LINE_ITEM,Mark Davies
CLM-018,ENG-008,A-00008,2025-02-13,TRAVEL,400.0,LINE_ITEM,Mark Davies
CLM-019,ENG-009,A-00009,2025-02-14,HOSPITALITY,250.0,LINE_ITEM,Sarah Johnson
CLM-020,ENG-009,A-00009,2025-02-16,TRAVEL,350.0,LINE_ITEM,Sarah Johnson
CLM-021,ENG-010,A-00010,2025-02-19,HOSPITALITY,350.0,LINE_ITEM,Emma Wilson
CLM-022,ENG-010,A-00010,2025-02-21,TRAVEL,350.0,LINE_ITEM,Emma Wilson
CLM-023,ENG-011,A-00011,2025-02-21,HOSPITALITY,350.0,LINE_ITEM,Liam Thompson
CLM-024,ENG-011,A-00011,2025-02-23,TRAVEL,300.0,LINE_ITEM,Liam Thompson
CLM-025,ENG-011,A-00011,2025-02-23,ACCOMMODATION,150.0,LINE_ITEM,Liam Thompson
CLM-026,ENG-012,A-00012,2025-02-25,HOSPITALITY,250.0,LINE_ITEM,Olivia Martin
CLM-027,ENG-012,A-00012,2025-02-27,TRAVEL,350.0,LINE_ITEM,Olivia Martin
CLM-028,ENG-013,A-00013,2025-03-03,HOSPITALITY,250.0,LINE_ITEM,Noah Anderson
CLM-029,ENG-013,A-00013,2025-03-05,TRAVEL,350.0,LINE_ITEM,Noah Anderson
